0  0  0
0.2  0.000166667  0.00166667
0.399999  0.000666666  0.00333333
0.599998  0.0015  0.005
0.799994  0.00266666  0.00666667
0.999988  0.00416664  0.00833333
1.19998  0.00599995  0.01
1.39997  0.00816657  0.0116667
1.59995  0.0106665  0.0133333
1.79993  0.0134997  0.015
1.99991  0.0166663  0.0166667
2.19988  0.0201661  0.0183333
2.39984  0.0239992  0.02
2.5998  0.0281656  0.0216667
2.79975  0.0326652  0.0233333
2.99969  0.037498  0.025
3.19962  0.0426641  0.0266667
3.39955  0.0481634  0.0283333
3.59946  0.053996  0.03
3.79936  0.0601616  0.0316667
3.99926  0.0666605  0.0333333
4.19914  0.0734925  0.035
4.39901  0.0806576  0.0366667
4.59887  0.0881559  0.0383333
4.79872  0.0959872  0.04
4.99855  0.104318  0.0433333
5.19834  0.113315  0.0466667
5.39811  0.122978  0.05
5.59784  0.133307  0.0533333
5.79754  0.144301  0.0566667
5.9972  0.155961  0.06
6.19682  0.168287  0.0633333
6.3964  0.181278  0.0666667
6.59593  0.194934  0.07
6.79542  0.209255  0.0733333
6.99486  0.224241  0.0766667
7.19424  0.239891  0.08
7.39358  0.256206  0.0833333
7.59285  0.273186  0.0866667
7.79207  0.29083  0.09
7.99123  0.309137  0.0933333
8.19033  0.328109  0.0966667
8.38937  0.347744  0.1
8.58833  0.368042  0.103333
8.78723  0.389003  0.106667
8.98606  0.410628  0.11
9.18481  0.432915  0.113333
9.38349  0.455864  0.116667
9.58209  0.479475  0.12
9.78061  0.503749  0.123333
9.97905  0.528684  0.126667
10.1774  0.55428  0.13
10.3757  0.580537  0.133333
10.5739  0.607455  0.136667
10.7719  0.635034  0.14
10.9699  0.663272  0.143333
11.1678  0.692171  0.146667
11.3656  0.721729  0.15
11.5634  0.751946  0.153333
11.761  0.782822  0.156667
11.9585  0.814357  0.16
12.1559  0.846385  0.161667
12.3532  0.878742  0.163333
12.5505  0.911428  0.165
12.7478  0.944443  0.166667
12.945  0.977786  0.168333
13.1421  1.01146  0.17
13.3392  1.04546  0.171667
13.5363  1.07979  0.173333
13.7332  1.11445  0.175
13.9302  1.14943  0.176667
14.127  1.18475  0.178333
14.3238  1.22039  0.18
14.5206  1.25619  0.18
14.7174  1.292  0.18
14.9141  1.32781  0.18
15.1109  1.36361  0.18
15.3077  1.39942  0.18
15.5044  1.43522  0.18
15.7012  1.47103  0.18
15.898  1.50683  0.18
16.0947  1.54264  0.18
16.2915  1.57845  0.18
16.4883  1.61425  0.18
16.685  1.65006  0.18
16.8818  1.68586  0.18
17.0786  1.72167  0.18
17.2753  1.75748  0.18
17.4721  1.79328  0.18
17.6689  1.82909  0.18
17.8657  1.86489  0.18
18.0624  1.9007  0.18
18.2592  1.93651  0.18
18.456  1.97231  0.18
18.6527  2.00812  0.18
18.8495  2.04392  0.18
19.0463  2.07973  0.18
19.2431  2.11537  0.178333
19.4399  2.15069  0.176667
19.6368  2.18567  0.175
19.8338  2.22033  0.173333
20.0308  2.25466  0.171667
20.2279  2.28866  0.17
20.4251  2.32233  0.168333
20.6223  2.35567  0.166667
20.8195  2.38869  0.165
21.0168  2.42137  0.163333
21.2142  2.45373  0.161667
21.4116  2.48576  0.16
21.6091  2.51746  0.158333
21.8066  2.54883  0.156667
22.0042  2.57987  0.155
22.2018  2.61058  0.153333
22.3995  2.64096  0.151667
22.5972  2.67102  0.15
22.795  2.70074  0.148333
22.9928  2.73013  0.146667
23.1907  2.75919  0.145
23.3886  2.78793  0.143333
23.5866  2.81633  0.141667
23.7846  2.84441  0.14
23.9827  2.87198  0.136667
24.1809  2.8989  0.133333
24.3792  2.92516  0.13
24.5775  2.95076  0.126667
24.776  2.97569  0.123333
24.9745  2.99996  0.12
25.1731  3.02358  0.116667
25.3718  3.04652  0.113333
25.5705  3.06881  0.11
25.7694  3.09044  0.106667
25.9683  3.1114  0.103333
26.1672  3.1317  0.1
26.3663  3.15133  0.0966667
26.5654  3.1703  0.0933333
26.7645  3.18861  0.09
26.9637  3.20625  0.0866667
27.163  3.22323  0.0833333
27.3623  3.23955  0.08
27.5617  3.2552  0.0766667
27.7612  3.27019  0.0733333
27.9607  3.28451  0.07
28.1602  3.29816  0.0666667
28.3598  3.31115  0.0633333
28.5594  3.32348  0.06
28.759  3.33514  0.0566667
28.9587  3.34613  0.0533333
29.1585  3.35646  0.05
29.3582  3.36612  0.0466667
29.558  3.37512  0.0433333
29.7579  3.38345  0.04
29.9577  3.39112  0.0366667
30.1576  3.39812  0.0333333
30.3575  3.40445  0.03
30.5574  3.41011  0.0266667
30.7574  3.41511  0.0233333
30.9573  3.41945  0.02
31.1573  3.42295  0.015
31.3573  3.42545  0.01
31.5573  3.42695  0.005
31.7573  3.42745  3.46945e-18
31.9573  3.42695  -0.005
32.1572  3.42545  -0.01
32.3572  3.42295  -0.015
32.5572  3.41945  -0.02
32.7572  3.41495  -0.025
32.9571  3.40945  -0.03
33.157  3.40295  -0.035
33.3568  3.39545  -0.04
33.5567  3.38712  -0.0433333
33.7565  3.37812  -0.0466667
33.9562  3.36846  -0.05
34.156  3.35813  -0.0533333
34.3556  3.34714  -0.0566667
34.5553  3.33548  -0.06
34.7549  3.32315  -0.0633333
34.9545  3.31016  -0.0666667
35.154  3.2965  -0.07
35.3535  3.28218  -0.0733333
35.553  3.2672  -0.0766667
35.7523  3.25155  -0.08
35.9517  3.23523  -0.0833333
36.151  3.21825  -0.0866667
36.3502  3.20061  -0.09
36.5493  3.1823  -0.0933333
36.7484  3.16333  -0.0966667
36.9475  3.14369  -0.1
37.1464  3.1234  -0.103333
37.3453  3.10243  -0.106667
